,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
State,Commodity Group,Commodity,Date,Arrival Quantity 02-03-2021 to 02-03-2026,Arrival Unit,Modal Price 02-03-2021 to 02-03-2026,Price Unit
Maharashtra,Others,Sugarcane,09-11-2021,21.00,Metric Tonnes,15.00,Rs./Quintal
Maharashtra,Others,Sugarcane,10-11-2021,4.00,Metric Tonnes,12.00,Rs./Quintal
Maharashtra,Others,Sugarcane,13-01-2022,92.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Others,Sugarcane,15-01-2022,71.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Others,Sugarcane,06-03-2022,19.00,Metric Tonnes,275.00,Rs./Quintal
Maharashtra,Others,Sugarcane,25-12-2022,41.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Others,Sugarcane,13-04-2024,20.00,Metric Tonnes,1550.00,Rs./Quintal
Maharashtra,Others,Sugarcane,26-06-2024,66.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,03-07-2024,48.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,06-07-2024,19.80,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,13-07-2024,19.80,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,16-07-2024,15.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,25-08-2024,37.60,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Others,Sugarcane,29-09-2024,0.30,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Others,Sugarcane,13-10-2024,30.50,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Others,Sugarcane,07-11-2024,23.50,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Others,Sugarcane,14-08-2025,11.90,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,18-09-2025,10.70,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Others,Sugarcane,25-09-2025,12.00,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Others,Sugarcane,28-09-2025,10.60,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,30-09-2025,10.60,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,02-10-2025,11.90,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,09-10-2025,10.70,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,25-11-2025,11.90,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Others,Sugarcane,26-11-2025,13.60,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,27-11-2025,8.90,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Others,Sugarcane,06-12-2025,7.60,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,07-12-2025,10.50,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,09-12-2025,10.60,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Others,Sugarcane,11-12-2025,10.70,Metric Tonnes,500.00,Rs./Quintal

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity

