,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
State,Commodity Group,Commodity,Date,Arrival Quantity 02-03-2021 to 02-03-2026,Arrival Unit,Modal Price 02-03-2021 to 02-03-2026,Price Unit
Maharashtra,Cereals,Wheat,02-03-2021,5484.00,Metric Tonnes,2133.40,Rs./Quintal
Maharashtra,Cereals,Wheat,03-03-2021,5341.00,Metric Tonnes,1843.55,Rs./Quintal
Maharashtra,Cereals,Wheat,04-03-2021,5191.00,Metric Tonnes,1977.09,Rs./Quintal
Maharashtra,Cereals,Wheat,05-03-2021,4693.00,Metric Tonnes,1989.48,Rs./Quintal
Maharashtra,Cereals,Wheat,06-03-2021,2719.00,Metric Tonnes,2221.19,Rs./Quintal
Maharashtra,Cereals,Wheat,07-03-2021,226.00,Metric Tonnes,1711.81,Rs./Quintal
Maharashtra,Cereals,Wheat,08-03-2021,6552.00,Metric Tonnes,1954.63,Rs./Quintal
Maharashtra,Cereals,Wheat,09-03-2021,5885.00,Metric Tonnes,2125.83,Rs./Quintal
Maharashtra,Cereals,Wheat,10-03-2021,6295.00,Metric Tonnes,1970.60,Rs./Quintal
Maharashtra,Cereals,Wheat,11-03-2021,330.00,Metric Tonnes,1979.36,Rs./Quintal
Maharashtra,Cereals,Wheat,12-03-2021,6337.00,Metric Tonnes,1975.53,Rs./Quintal
Maharashtra,Cereals,Wheat,13-03-2021,3102.00,Metric Tonnes,2117.65,Rs./Quintal
Maharashtra,Cereals,Wheat,14-03-2021,402.00,Metric Tonnes,1706.70,Rs./Quintal
Maharashtra,Cereals,Wheat,15-03-2021,4413.00,Metric Tonnes,2068.70,Rs./Quintal
Maharashtra,Cereals,Wheat,16-03-2021,2153.00,Metric Tonnes,2489.60,Rs./Quintal
Maharashtra,Cereals,Wheat,17-03-2021,180.00,Metric Tonnes,1774.75,Rs./Quintal
Maharashtra,Cereals,Wheat,18-03-2021,424.00,Metric Tonnes,1768.19,Rs./Quintal
Maharashtra,Cereals,Wheat,19-03-2021,791.00,Metric Tonnes,1682.71,Rs./Quintal
Maharashtra,Cereals,Wheat,20-03-2021,1978.00,Metric Tonnes,2219.77,Rs./Quintal
Maharashtra,Cereals,Wheat,21-03-2021,406.00,Metric Tonnes,1741.85,Rs./Quintal
Maharashtra,Cereals,Wheat,22-03-2021,5597.00,Metric Tonnes,2051.22,Rs./Quintal
Maharashtra,Cereals,Wheat,23-03-2021,2890.00,Metric Tonnes,1776.37,Rs./Quintal
Maharashtra,Cereals,Wheat,24-03-2021,5021.00,Metric Tonnes,2272.85,Rs./Quintal
Maharashtra,Cereals,Wheat,25-03-2021,4612.00,Metric Tonnes,2018.03,Rs./Quintal
Maharashtra,Cereals,Wheat,26-03-2021,4471.00,Metric Tonnes,2060.97,Rs./Quintal
Maharashtra,Cereals,Wheat,27-03-2021,2225.00,Metric Tonnes,2277.35,Rs./Quintal
Maharashtra,Cereals,Wheat,28-03-2021,102.00,Metric Tonnes,1784.25,Rs./Quintal
Maharashtra,Cereals,Wheat,29-03-2021,92.00,Metric Tonnes,1935.16,Rs./Quintal
Maharashtra,Cereals,Wheat,30-03-2021,2387.00,Metric Tonnes,2579.58,Rs./Quintal
Maharashtra,Cereals,Wheat,31-03-2021,1900.00,Metric Tonnes,2670.02,Rs./Quintal
Maharashtra,Cereals,Wheat,01-04-2021,1682.00,Metric Tonnes,2191.00,Rs./Quintal
Maharashtra,Cereals,Wheat,02-04-2021,1095.00,Metric Tonnes,2796.66,Rs./Quintal
Maharashtra,Cereals,Wheat,03-04-2021,3037.00,Metric Tonnes,2195.00,Rs./Quintal
Maharashtra,Cereals,Wheat,04-04-2021,224.00,Metric Tonnes,1795.17,Rs./Quintal
Maharashtra,Cereals,Wheat,05-04-2021,6633.00,Metric Tonnes,2057.26,Rs./Quintal
Maharashtra,Cereals,Wheat,06-04-2021,5530.00,Metric Tonnes,2149.64,Rs./Quintal
Maharashtra,Cereals,Wheat,07-04-2021,5829.00,Metric Tonnes,2188.40,Rs./Quintal
Maharashtra,Cereals,Wheat,08-04-2021,5666.00,Metric Tonnes,2061.99,Rs./Quintal
Maharashtra,Cereals,Wheat,09-04-2021,4476.00,Metric Tonnes,2268.27,Rs./Quintal
Maharashtra,Cereals,Wheat,10-04-2021,2256.00,Metric Tonnes,2870.48,Rs./Quintal
Maharashtra,Cereals,Wheat,11-04-2021,232.00,Metric Tonnes,1688.14,Rs./Quintal
Maharashtra,Cereals,Wheat,12-04-2021,5812.00,Metric Tonnes,2297.52,Rs./Quintal
Maharashtra,Cereals,Wheat,13-04-2021,2006.00,Metric Tonnes,2930.69,Rs./Quintal
Maharashtra,Cereals,Wheat,14-04-2021,1224.00,Metric Tonnes,3182.48,Rs./Quintal
Maharashtra,Cereals,Wheat,15-04-2021,4261.00,Metric Tonnes,2204.21,Rs./Quintal
Maharashtra,Cereals,Wheat,16-04-2021,3626.00,Metric Tonnes,2181.83,Rs./Quintal
Maharashtra,Cereals,Wheat,17-04-2021,2855.00,Metric Tonnes,2483.51,Rs./Quintal
Maharashtra,Cereals,Wheat,18-04-2021,526.00,Metric Tonnes,1754.28,Rs./Quintal
Maharashtra,Cereals,Wheat,19-04-2021,7919.00,Metric Tonnes,2672.12,Rs./Quintal
Maharashtra,Cereals,Wheat,20-04-2021,3547.00,Metric Tonnes,2432.25,Rs./Quintal
Maharashtra,Cereals,Wheat,21-04-2021,737.00,Metric Tonnes,3139.03,Rs./Quintal
Maharashtra,Cereals,Wheat,22-04-2021,2764.00,Metric Tonnes,2128.93,Rs./Quintal
Maharashtra,Cereals,Wheat,23-04-2021,2038.00,Metric Tonnes,2249.92,Rs./Quintal
Maharashtra,Cereals,Wheat,24-04-2021,1125.00,Metric Tonnes,2184.52,Rs./Quintal
Maharashtra,Cereals,Wheat,25-04-2021,107.00,Metric Tonnes,2005.94,Rs./Quintal
Maharashtra,Cereals,Wheat,26-04-2021,2285.00,Metric Tonnes,2311.31,Rs./Quintal
Maharashtra,Cereals,Wheat,27-04-2021,1234.00,Metric Tonnes,2257.45,Rs./Quintal
Maharashtra,Cereals,Wheat,28-04-2021,1509.00,Metric Tonnes,1956.04,Rs./Quintal
Maharashtra,Cereals,Wheat,29-04-2021,1539.00,Metric Tonnes,2194.85,Rs./Quintal
Maharashtra,Cereals,Wheat,30-04-2021,1604.00,Metric Tonnes,2142.41,Rs./Quintal
Maharashtra,Cereals,Wheat,01-05-2021,159.00,Metric Tonnes,2529.29,Rs./Quintal
Maharashtra,Cereals,Wheat,02-05-2021,98.00,Metric Tonnes,1763.57,Rs./Quintal
Maharashtra,Cereals,Wheat,03-05-2021,2749.00,Metric Tonnes,2313.32,Rs./Quintal
Maharashtra,Cereals,Wheat,04-05-2021,2478.00,Metric Tonnes,2097.25,Rs./Quintal
Maharashtra,Cereals,Wheat,05-05-2021,1977.00,Metric Tonnes,2001.98,Rs./Quintal
Maharashtra,Cereals,Wheat,06-05-2021,2679.00,Metric Tonnes,2072.18,Rs./Quintal
Maharashtra,Cereals,Wheat,07-05-2021,1764.00,Metric Tonnes,2245.00,Rs./Quintal
Maharashtra,Cereals,Wheat,08-05-2021,1134.00,Metric Tonnes,2642.49,Rs./Quintal
Maharashtra,Cereals,Wheat,09-05-2021,121.00,Metric Tonnes,2030.80,Rs./Quintal
Maharashtra,Cereals,Wheat,10-05-2021,2093.00,Metric Tonnes,2593.93,Rs./Quintal
Maharashtra,Cereals,Wheat,11-05-2021,1784.00,Metric Tonnes,2560.09,Rs./Quintal
Maharashtra,Cereals,Wheat,12-05-2021,1297.00,Metric Tonnes,2243.16,Rs./Quintal
Maharashtra,Cereals,Wheat,13-05-2021,1245.00,Metric Tonnes,2471.51,Rs./Quintal
Maharashtra,Cereals,Wheat,14-05-2021,557.00,Metric Tonnes,3222.29,Rs./Quintal
Maharashtra,Cereals,Wheat,15-05-2021,659.00,Metric Tonnes,2839.71,Rs./Quintal
Maharashtra,Cereals,Wheat,16-05-2021,52.00,Metric Tonnes,1660.81,Rs./Quintal
Maharashtra,Cereals,Wheat,17-05-2021,1897.00,Metric Tonnes,2464.33,Rs./Quintal
Maharashtra,Cereals,Wheat,18-05-2021,1791.00,Metric Tonnes,2499.80,Rs./Quintal
Maharashtra,Cereals,Wheat,19-05-2021,1749.00,Metric Tonnes,2391.80,Rs./Quintal
Maharashtra,Cereals,Wheat,20-05-2021,1809.00,Metric Tonnes,2221.37,Rs./Quintal
Maharashtra,Cereals,Wheat,21-05-2021,1419.00,Metric Tonnes,1858.70,Rs./Quintal
Maharashtra,Cereals,Wheat,22-05-2021,1243.00,Metric Tonnes,2539.48,Rs./Quintal
Maharashtra,Cereals,Wheat,23-05-2021,81.00,Metric Tonnes,1770.48,Rs./Quintal
Maharashtra,Cereals,Wheat,24-05-2021,2927.00,Metric Tonnes,2045.36,Rs./Quintal
Maharashtra,Cereals,Wheat,25-05-2021,2761.00,Metric Tonnes,2327.15,Rs./Quintal
Maharashtra,Cereals,Wheat,26-05-2021,872.00,Metric Tonnes,2944.28,Rs./Quintal
Maharashtra,Cereals,Wheat,27-05-2021,2363.00,Metric Tonnes,2017.10,Rs./Quintal
Maharashtra,Cereals,Wheat,28-05-2021,2702.00,Metric Tonnes,2018.59,Rs./Quintal
Maharashtra,Cereals,Wheat,29-05-2021,1702.00,Metric Tonnes,2291.77,Rs./Quintal
Maharashtra,Cereals,Wheat,30-05-2021,91.00,Metric Tonnes,1738.71,Rs./Quintal
Maharashtra,Cereals,Wheat,31-05-2021,3111.00,Metric Tonnes,2183.36,Rs./Quintal
