,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
State,Commodity Group,Commodity,Date,Arrival Quantity 02-03-2021 to 02-03-2026,Arrival Unit,Modal Price 02-03-2021 to 02-03-2026,Price Unit
Maharashtra,Vegetables,Onion,02-03-2021,13772.00,Metric Tonnes,2279.62,Rs./Quintal
Maharashtra,Vegetables,Onion,03-03-2021,18668.00,Metric Tonnes,2199.79,Rs./Quintal
Maharashtra,Vegetables,Onion,04-03-2021,18778.00,Metric Tonnes,1895.72,Rs./Quintal
Maharashtra,Vegetables,Onion,05-03-2021,20890.00,Metric Tonnes,1673.94,Rs./Quintal
Maharashtra,Vegetables,Onion,06-03-2021,16544.00,Metric Tonnes,1777.19,Rs./Quintal
Maharashtra,Vegetables,Onion,07-03-2021,4592.00,Metric Tonnes,1649.27,Rs./Quintal
Maharashtra,Vegetables,Onion,08-03-2021,35299.00,Metric Tonnes,1413.66,Rs./Quintal
Maharashtra,Vegetables,Onion,09-03-2021,27479.00,Metric Tonnes,1191.76,Rs./Quintal
Maharashtra,Vegetables,Onion,10-03-2021,30786.00,Metric Tonnes,1118.31,Rs./Quintal
Maharashtra,Vegetables,Onion,11-03-2021,7448.00,Metric Tonnes,1267.31,Rs./Quintal
Maharashtra,Vegetables,Onion,12-03-2021,26962.00,Metric Tonnes,1194.35,Rs./Quintal
Maharashtra,Vegetables,Onion,13-03-2021,13574.00,Metric Tonnes,1266.72,Rs./Quintal
Maharashtra,Vegetables,Onion,14-03-2021,4014.00,Metric Tonnes,1219.80,Rs./Quintal
Maharashtra,Vegetables,Onion,15-03-2021,32150.00,Metric Tonnes,1294.36,Rs./Quintal
Maharashtra,Vegetables,Onion,16-03-2021,10550.00,Metric Tonnes,1294.26,Rs./Quintal
Maharashtra,Vegetables,Onion,19-03-2021,2573.00,Metric Tonnes,991.54,Rs./Quintal
Maharashtra,Vegetables,Onion,20-03-2021,6392.00,Metric Tonnes,987.21,Rs./Quintal
Maharashtra,Vegetables,Onion,21-03-2021,6361.00,Metric Tonnes,996.40,Rs./Quintal
Maharashtra,Vegetables,Onion,22-03-2021,28650.00,Metric Tonnes,947.10,Rs./Quintal
Maharashtra,Vegetables,Onion,23-03-2021,26599.00,Metric Tonnes,902.16,Rs./Quintal
