,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
State,Commodity Group,Commodity,Date,Arrival Quantity 02-03-2021 to 02-03-2026,Arrival Unit,Modal Price 02-03-2021 to 02-03-2026,Price Unit
Maharashtra,Cereals,Rice,02-03-2021,216.00,Metric Tonnes,3239.95,Rs./Quintal
Maharashtra,Cereals,Rice,03-03-2021,176.00,Metric Tonnes,3661.14,Rs./Quintal
Maharashtra,Cereals,Rice,04-03-2021,313.00,Metric Tonnes,3829.19,Rs./Quintal
Maharashtra,Cereals,Rice,05-03-2021,221.00,Metric Tonnes,3317.30,Rs./Quintal
Maharashtra,Cereals,Rice,06-03-2021,246.00,Metric Tonnes,3492.80,Rs./Quintal
Maharashtra,Cereals,Rice,07-03-2021,45.00,Metric Tonnes,2555.00,Rs./Quintal
Maharashtra,Cereals,Rice,08-03-2021,239.00,Metric Tonnes,3504.46,Rs./Quintal
Maharashtra,Cereals,Rice,09-03-2021,182.00,Metric Tonnes,3745.08,Rs./Quintal
Maharashtra,Cereals,Rice,10-03-2021,246.00,Metric Tonnes,3415.08,Rs./Quintal
Maharashtra,Cereals,Rice,11-03-2021,45.00,Metric Tonnes,3008.89,Rs./Quintal
Maharashtra,Cereals,Rice,12-03-2021,195.00,Metric Tonnes,3448.41,Rs./Quintal
Maharashtra,Cereals,Rice,13-03-2021,290.00,Metric Tonnes,3744.52,Rs./Quintal
Maharashtra,Cereals,Rice,14-03-2021,12.00,Metric Tonnes,5283.33,Rs./Quintal
Maharashtra,Cereals,Rice,15-03-2021,198.00,Metric Tonnes,3286.59,Rs./Quintal
Maharashtra,Cereals,Rice,16-03-2021,1808.00,Metric Tonnes,4754.91,Rs./Quintal
Maharashtra,Cereals,Rice,17-03-2021,68.00,Metric Tonnes,1975.00,Rs./Quintal
Maharashtra,Cereals,Rice,18-03-2021,44.00,Metric Tonnes,2112.50,Rs./Quintal
Maharashtra,Cereals,Rice,19-03-2021,85.00,Metric Tonnes,1975.00,Rs./Quintal
Maharashtra,Cereals,Rice,20-03-2021,44.00,Metric Tonnes,3678.41,Rs./Quintal
Maharashtra,Cereals,Rice,21-03-2021,84.00,Metric Tonnes,2885.30,Rs./Quintal
Maharashtra,Cereals,Rice,22-03-2021,289.00,Metric Tonnes,3236.61,Rs./Quintal
Maharashtra,Cereals,Rice,23-03-2021,220.00,Metric Tonnes,3186.00,Rs./Quintal
Maharashtra,Cereals,Rice,24-03-2021,228.00,Metric Tonnes,3099.89,Rs./Quintal
Maharashtra,Cereals,Rice,25-03-2021,280.00,Metric Tonnes,3182.99,Rs./Quintal
Maharashtra,Cereals,Rice,26-03-2021,193.00,Metric Tonnes,3721.82,Rs./Quintal
Maharashtra,Cereals,Rice,27-03-2021,232.00,Metric Tonnes,3449.68,Rs./Quintal
Maharashtra,Cereals,Rice,28-03-2021,17.00,Metric Tonnes,5138.24,Rs./Quintal
Maharashtra,Cereals,Rice,29-03-2021,3.00,Metric Tonnes,2733.33,Rs./Quintal
Maharashtra,Cereals,Rice,30-03-2021,325.00,Metric Tonnes,3934.50,Rs./Quintal
Maharashtra,Cereals,Rice,31-03-2021,201.00,Metric Tonnes,3380.95,Rs./Quintal
Maharashtra,Cereals,Rice,01-04-2021,77.00,Metric Tonnes,4335.06,Rs./Quintal
Maharashtra,Cereals,Rice,02-04-2021,99.00,Metric Tonnes,3414.81,Rs./Quintal
Maharashtra,Cereals,Rice,03-04-2021,202.00,Metric Tonnes,3770.21,Rs./Quintal
Maharashtra,Cereals,Rice,04-04-2021,20.00,Metric Tonnes,2148.75,Rs./Quintal
Maharashtra,Cereals,Rice,05-04-2021,146.00,Metric Tonnes,3753.56,Rs./Quintal
Maharashtra,Cereals,Rice,06-04-2021,209.00,Metric Tonnes,3183.52,Rs./Quintal
Maharashtra,Cereals,Rice,07-04-2021,275.00,Metric Tonnes,3620.02,Rs./Quintal
Maharashtra,Cereals,Rice,08-04-2021,357.00,Metric Tonnes,3346.02,Rs./Quintal
Maharashtra,Cereals,Rice,09-04-2021,247.00,Metric Tonnes,3743.22,Rs./Quintal
Maharashtra,Cereals,Rice,10-04-2021,116.00,Metric Tonnes,2686.85,Rs./Quintal
Maharashtra,Cereals,Rice,11-04-2021,59.00,Metric Tonnes,2269.08,Rs./Quintal
Maharashtra,Cereals,Rice,12-04-2021,230.00,Metric Tonnes,3665.76,Rs./Quintal
Maharashtra,Cereals,Rice,13-04-2021,235.00,Metric Tonnes,3138.57,Rs./Quintal
Maharashtra,Cereals,Rice,14-04-2021,82.00,Metric Tonnes,3018.35,Rs./Quintal
Maharashtra,Cereals,Rice,15-04-2021,304.00,Metric Tonnes,3321.71,Rs./Quintal
Maharashtra,Cereals,Rice,16-04-2021,282.00,Metric Tonnes,3393.49,Rs./Quintal
Maharashtra,Cereals,Rice,17-04-2021,300.00,Metric Tonnes,3284.08,Rs./Quintal
Maharashtra,Cereals,Rice,18-04-2021,49.00,Metric Tonnes,2786.73,Rs./Quintal
