,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
State,Commodity Group,Commodity,Date,Arrival Quantity 02-03-2021 to 02-03-2026,Arrival Unit,Modal Price 02-03-2021 to 02-03-2026,Price Unit
Maharashtra,Vegetables,Tomato,02-03-2021,966.00,Metric Tonnes,872.62,Rs./Quintal
Maharashtra,Vegetables,Tomato,03-03-2021,959.00,Metric Tonnes,996.72,Rs./Quintal
Maharashtra,Vegetables,Tomato,04-03-2021,677.00,Metric Tonnes,866.47,Rs./Quintal
Maharashtra,Vegetables,Tomato,05-03-2021,859.00,Metric Tonnes,961.03,Rs./Quintal
Maharashtra,Vegetables,Tomato,06-03-2021,785.00,Metric Tonnes,1047.17,Rs./Quintal
Maharashtra,Vegetables,Tomato,07-03-2021,540.00,Metric Tonnes,677.32,Rs./Quintal
Maharashtra,Vegetables,Tomato,08-03-2021,693.00,Metric Tonnes,936.87,Rs./Quintal
Maharashtra,Vegetables,Tomato,09-03-2021,895.00,Metric Tonnes,996.84,Rs./Quintal
Maharashtra,Vegetables,Tomato,10-03-2021,613.00,Metric Tonnes,783.16,Rs./Quintal
Maharashtra,Vegetables,Tomato,11-03-2021,534.00,Metric Tonnes,829.92,Rs./Quintal
Maharashtra,Vegetables,Tomato,12-03-2021,775.00,Metric Tonnes,941.10,Rs./Quintal
Maharashtra,Vegetables,Tomato,13-03-2021,604.00,Metric Tonnes,991.39,Rs./Quintal
Maharashtra,Vegetables,Tomato,14-03-2021,478.00,Metric Tonnes,623.71,Rs./Quintal
Maharashtra,Vegetables,Tomato,15-03-2021,720.00,Metric Tonnes,934.97,Rs./Quintal
Maharashtra,Vegetables,Tomato,16-03-2021,572.00,Metric Tonnes,890.24,Rs./Quintal
Maharashtra,Vegetables,Tomato,17-03-2021,32.00,Metric Tonnes,1914.06,Rs./Quintal
Maharashtra,Vegetables,Tomato,18-03-2021,24.00,Metric Tonnes,1348.96,Rs./Quintal
Maharashtra,Vegetables,Tomato,19-03-2021,127.00,Metric Tonnes,1126.77,Rs./Quintal
Maharashtra,Vegetables,Tomato,20-03-2021,487.00,Metric Tonnes,1213.57,Rs./Quintal
Maharashtra,Vegetables,Tomato,21-03-2021,655.00,Metric Tonnes,822.70,Rs./Quintal
Maharashtra,Vegetables,Tomato,22-03-2021,1019.00,Metric Tonnes,1071.62,Rs./Quintal
Maharashtra,Vegetables,Tomato,23-03-2021,824.00,Metric Tonnes,940.41,Rs./Quintal
Maharashtra,Vegetables,Tomato,24-03-2021,721.00,Metric Tonnes,906.38,Rs./Quintal
Maharashtra,Vegetables,Tomato,25-03-2021,774.00,Metric Tonnes,965.37,Rs./Quintal
Maharashtra,Vegetables,Tomato,26-03-2021,889.00,Metric Tonnes,1005.85,Rs./Quintal
Maharashtra,Vegetables,Tomato,27-03-2021,768.00,Metric Tonnes,1126.35,Rs./Quintal
